#filename n_pre n_downsample n_trim n_rmplane t_load t_downsample t_trim t_normals n_plane t_plane t_normals_feature t_annot
/home/michal/Downloads/pcddata/raw/annotated/rares/20140912/patrol_run_96/room_2/complete_cloud.pcd 4409262 991341 791322 368583 1.40249 0.811623 0.140156 16.5719 9 126.725 1.28656 0.198752
/home/michal/Downloads/pcddata/raw/annotated/rares/20140912/patrol_run_98/room_3/complete_cloud.pcd 4390261 1000772 788195 469494 1.38045 0.798353 0.139793 16.3694 6 101.359 1.76686 0.193593
/home/michal/Downloads/pcddata/raw/annotated/rares/20140921/patrol_run_110/room_2/complete_cloud.pcd 4445985 1055005 835250 344289 1.48314 0.826197 0.155293 17.4368 10 132.839 1.21053 0.139508
/home/michal/Downloads/pcddata/raw/annotated/rares/20140921/patrol_run_112/room_2/complete_cloud.pcd 4446419 1017747 838390 410583 1.3141 0.622528 0.269903 17.6205 8 129.009 1.50476 0.246522
/home/michal/Downloads/pcddata/raw/annotated/rares/20140921/patrol_run_114/room_1/complete_cloud.pcd 4444169 1036381 818965 353065 1.37224 0.804352 0.134025 17.6923 9 128.872 1.2681 0.180762
/home/michal/Downloads/pcddata/raw/annotated/rares/20140922/patrol_run_116/room_2/complete_cloud.pcd 4452197 1029352 805564 403503 1.32277 0.751384 0.127226 17.1287 7 109.097 1.42162 0.214552
/home/michal/Downloads/pcddata/raw/annotated/rares/20140922/patrol_run_118/room_2/complete_cloud.pcd 4444445 1022899 806060 417407 1.33729 0.818694 0.144713 17.7554 8 128.283 1.53559 0.260162
/home/michal/Downloads/pcddata/raw/annotated/rares/20140922/patrol_run_120/room_1/complete_cloud.pcd 4455102 983004 776279 408514 1.3013 0.623309 0.253088 16.414 9 137.502 1.664 0.289
/home/michal/Downloads/pcddata/raw/annotated/rares/20140922/patrol_run_124/room_2/complete_cloud.pcd 4494090 1024038 832387 460612 1.28823 0.772117 0.12787 17.4046 7 123.575 1.64231 0.2379
/home/michal/Downloads/pcddata/raw/annotated/rares/20140922/patrol_run_126/room_2/complete_cloud.pcd 4479194 958202 779063 383883 1.35752 0.702969 0.146204 17.4429 10 141.97 1.48479 0.319758
/home/michal/Downloads/pcddata/raw/annotated/rares/20140922/patrol_run_128/room_2/complete_cloud.pcd 4460262 1015988 821190 406856 1.46371 0.751729 0.129597 18.2183 8 123.035 1.46915 0.293067
/home/michal/Downloads/pcddata/raw/annotated/rares/20140922/patrol_run_130/room_2/complete_cloud.pcd 4435422 1025538 793734 458288 1.33634 0.641325 0.283196 17.3128 6 102.361 1.72588 0.319465
/home/michal/Downloads/pcddata/raw/annotated/rares/20140922/patrol_run_132/room_1/complete_cloud.pcd 4413638 1023010 796649 382053 1.38129 0.792704 0.129003 17.7899 8 118.832 1.40226 0.231859
/home/michal/Downloads/pcddata/raw/annotated/rares/20140922/patrol_run_134/room_2/complete_cloud.pcd 4487794 959480 779341 507241 1.41535 0.859111 0.144316 16.8837 6 108.876 2.04444 0.372555
/home/michal/Downloads/pcddata/raw/annotated/rares/20140922/patrol_run_138/room_2/complete_cloud.pcd 4436705 1055431 831339 361570 1.3391 0.621062 0.272767 18.3701 10 132.474 1.32452 0.203371
/home/michal/Downloads/pcddata/raw/annotated/rares/20140923/patrol_run_139/room_2/complete_cloud.pcd 4420319 985171 787369 414010 1.37709 0.769232 0.122224 17.3226 7 109.8 1.56224 0.25371
/home/michal/Downloads/pcddata/raw/annotated/rares/20140923/patrol_run_141/room_2/complete_cloud.pcd 4387533 1021176 801129 404875 1.37383 0.735185 0.13093 17.8133 7 109.279 1.56631 0.253699
/home/michal/Downloads/pcddata/raw/annotated/rares/20140923/patrol_run_144/room_2/complete_cloud.pcd 4480987 1011298 823291 386269 1.41776 0.868318 0.182082 18.6116 9 143.542 1.45921 0.267692
/home/michal/Downloads/pcddata/raw/annotated/rares/20140923/patrol_run_146/room_2/complete_cloud.pcd 4204080 944015 730713 365851 1.4277 0.700258 0.30364 16.4199 6 87.8577 1.44079 0.240998
/home/michal/Downloads/pcddata/raw/annotated/rares/20140923/patrol_run_148/room_2/complete_cloud.pcd 4456798 1045810 827421 363982 1.3743 0.729574 0.129778 19.138 9 132.374 1.3837 0.198079
/home/michal/Downloads/pcddata/raw/annotated/rares/20140923/patrol_run_150/room_2/complete_cloud.pcd 4470992 1026228 808101 337377 1.38558 0.886149 0.153811 18.121 8 112.019 1.13895 0.231469
/home/michal/Downloads/pcddata/raw/annotated/rares/20140924/patrol_run_152/room_2/complete_cloud.pcd 4455040 1000462 792181 377898 1.25026 0.626284 0.259514 15.671 7 105.525 1.29741 0.206607
/home/michal/Downloads/pcddata/raw/annotated/rares/20140924/patrol_run_156/room_2/complete_cloud.pcd 4460562 1050998 817354 324429 1.24933 0.804891 0.133005 16.2071 9 123.868 1.14061 0.16521
/home/michal/Downloads/pcddata/raw/annotated/rares/20140924/patrol_run_158/room_1/complete_cloud.pcd 4475629 1028964 813103 321223 1.34997 0.77585 0.126964 16.6302 10 125.386 1.11747 0.204055
/home/michal/Downloads/pcddata/raw/annotated/rares/20140924/patrol_run_162/room_2/complete_cloud.pcd 4469018 1013638 801685 382127 1.28019 0.756465 0.126564 16.2312 6 94.5562 1.29299 0.230684
/home/michal/Downloads/pcddata/raw/annotated/rares/20140924/patrol_run_164/room_1/complete_cloud.pcd 4455309 1021152 817573 399290 1.27131 0.642355 0.125281 16.4821 6 97.1459 1.31375 0.213905
/home/michal/Downloads/pcddata/raw/annotated/rares/20140924/patrol_run_166/room_2/complete_cloud.pcd 4473983 1047336 825111 401355 1.20916 0.72325 0.136894 16.7449 6 98.0793 1.34182 0.215679
