#filename n_pre n_downsample n_trim n_rmplane t_load t_downsample t_trim t_normals t_normals_feature n_plane t_plane
/home/michal/Downloads/pcddata/raw/annotated/rares/20140910/patrol_run_74/room_3/complete_cloud.pcd 4230636 478707 393211 350904 1.25319 0.873654 0.115355 1.19255 0.685593 2 31.9442
/home/michal/Downloads/pcddata/raw/annotated/rares/20140910/patrol_run_77/room_4/complete_cloud.pcd 4004122 474858 389054 344020 1.51942 0.991427 0.12504 1.03591 0.718192 2 30.2486
/home/michal/Downloads/pcddata/raw/annotated/rares/20140910/patrol_run_79/room_2/complete_cloud.pcd 4123753 444530 364837 319581 1.19006 1.02855 0.120349 1.11236 1.00997 2 27.0169
/home/michal/Downloads/pcddata/raw/annotated/rares/20140910/patrol_run_81/room_2/complete_cloud.pcd 4432224 507076 420506 420506 1.58342 0.410428 0.118818 1.08389 0.96669 0 27.5856
/home/michal/Downloads/pcddata/raw/annotated/rares/20140911/patrol_run_82/room_3/complete_cloud.pcd 4411490 501382 415368 371601 1.55005 1.04049 0.140736 1.33061 0.676147 2 22.6471
/home/michal/Downloads/pcddata/raw/annotated/rares/20140911/patrol_run_84/room_3/complete_cloud.pcd 4431435 497345 408878 320938 1.2894 1.00126 0.11653 1.22549 0.629254 4 61.0567
/home/michal/Downloads/pcddata/raw/annotated/rares/20140911/patrol_run_88/room_3/complete_cloud.pcd 4262780 461405 385415 280756 1.34882 0.981815 0.10634 1.28916 0.528383 5 58.2036
/home/michal/Downloads/pcddata/raw/annotated/rares/20140911/patrol_run_90/room_3/complete_cloud.pcd 4225983 458732 381458 337707 1.50573 1.02923 0.108641 1.0793 0.674822 2 19.733
/home/michal/Downloads/pcddata/raw/annotated/rares/20140911/patrol_run_92/room_3/complete_cloud.pcd 4163218 448677 368957 325329 1.32405 0.953069 0.119644 1.29731 0.589441 2 29.7351
/home/michal/Downloads/pcddata/raw/annotated/rares/20140912/patrol_run_100/room_3/complete_cloud.pcd 4365323 499948 413201 361508 1.50788 1.06226 0.117772 1.30171 0.883672 3 52.4779
/home/michal/Downloads/pcddata/raw/annotated/rares/20140912/patrol_run_102/room_3/complete_cloud.pcd 4349391 496981 400664 334814 1.52293 1.00109 0.0605754 1.26101 0.810542 3 72.4479
/home/michal/Downloads/pcddata/raw/annotated/rares/20140912/patrol_run_104/room_3/complete_cloud.pcd 4341724 478585 403162 367569 1.3665 0.623826 0.109101 1.21373 0.985027 2 51.8048
/home/michal/Downloads/pcddata/raw/annotated/rares/20140912/patrol_run_94/room_3/complete_cloud.pcd 4370985 474784 393814 366863 1.39838 0.653216 0.109516 1.4818 1.15009 2 22.5598
/home/michal/Downloads/pcddata/raw/annotated/rares/20140912/patrol_run_96/room_2/complete_cloud.pcd 4409262 486471 406470 406470 2.71052 1.40883 0.17775 2.0256 0.916134 0 25.7531
/home/michal/Downloads/pcddata/raw/annotated/rares/20140912/patrol_run_98/room_3/complete_cloud.pcd 4390261 491148 406811 363231 2.56108 0.887099 0.137449 1.23009 0.795305 2 53.4951
/home/michal/Downloads/pcddata/raw/annotated/rares/20140921/patrol_run_110/room_2/complete_cloud.pcd 4445985 521169 432519 360014 1.4424 1.08776 0.112349 1.09698 0.794714 3 44.0933
/home/michal/Downloads/pcddata/raw/annotated/rares/20140921/patrol_run_112/room_2/complete_cloud.pcd 4446419 499494 420588 420588 1.53845 1.0519 0.107155 1.48216 0.98637 0 42.9364
/home/michal/Downloads/pcddata/raw/annotated/rares/20140921/patrol_run_114/room_1/complete_cloud.pcd 4444169 507448 415155 343133 1.55651 1.07746 0.115651 1.29266 0.734654 3 43.2103
/home/michal/Downloads/pcddata/raw/annotated/rares/20140922/patrol_run_116/room_2/complete_cloud.pcd 4452197 504862 414618 362339 1.38146 1.14988 0.122552 1.39989 0.742464 3 30.7784
/home/michal/Downloads/pcddata/raw/annotated/rares/20140922/patrol_run_118/room_2/complete_cloud.pcd 4444445 504052 416511 343844 1.94142 1.09627 0.109097 1.26144 0.91849 3 74.7663
/home/michal/Downloads/pcddata/raw/annotated/rares/20140922/patrol_run_120/room_1/complete_cloud.pcd 4455102 489256 407434 362573 1.4574 1.03328 0.106234 1.51485 0.959168 2 57.6195
/home/michal/Downloads/pcddata/raw/annotated/rares/20140922/patrol_run_124/room_2/complete_cloud.pcd 4494090 503585 419948 354590 1.28257 1.15859 0.118851 1.44418 0.871189 3 57.9011
/home/michal/Downloads/pcddata/raw/annotated/rares/20140922/patrol_run_126/room_2/complete_cloud.pcd 4479194 469702 401347 370292 1.51839 1.06058 0.100205 1.24425 0.908789 2 34.2038
/home/michal/Downloads/pcddata/raw/annotated/rares/20140922/patrol_run_128/room_2/complete_cloud.pcd 4460262 497434 421147 375044 1.53521 1.04815 0.11602 1.55997 0.777867 2 38.5444
/home/michal/Downloads/pcddata/raw/annotated/rares/20140922/patrol_run_130/room_2/complete_cloud.pcd 4435422 507347 413296 299589 1.64882 1.13302 0.0619296 1.31271 0.869134 5 79.5226
/home/michal/Downloads/pcddata/raw/annotated/rares/20140922/patrol_run_132/room_1/complete_cloud.pcd 4413638 503356 411771 318409 1.51404 1.03478 0.111747 1.22374 0.724951 4 88.2839
/home/michal/Downloads/pcddata/raw/annotated/rares/20140922/patrol_run_134/room_2/complete_cloud.pcd 4487794 473147 403656 343223 1.53179 1.05399 0.101668 1.32659 0.857018 3 57.9364
/home/michal/Downloads/pcddata/raw/annotated/rares/20140922/patrol_run_138/room_2/complete_cloud.pcd 4436705 520602 429566 400804 1.53158 1.0278 0.117732 1.35458 0.983535 2 62.0265
